,date,ticker,instrument_name,open,high,low,close,agg_close
100,2019-01-01 00:00:00,BANKNIFTY10JAN1926900PE.NFO,BANKNIFTY,118.05,178.85,71.5,73.7,81.6
101,2019-01-01 00:00:00,BANKNIFTY10JAN1927000CE.NFO,BANKNIFTY,384.45,543.05,275.0,538.2,513.15
102,2019-01-01 00:00:00,BANKNIFTY10JAN1927000PE.NFO,BANKNIFTY,142.55,216.35,89.1,91.65,100.61
103,2019-01-01 00:00:00,BANKNIFTY10JAN1927100CE.NFO,BANKNIFTY,354.05,470.0,237.85,470.0,441.92
104,2019-01-01 00:00:00,BANKNIFTY10JAN1927100PE.NFO,BANKNIFTY,176.6,259.0,114.0,114.0,127.57
105,2019-01-01 00:00:00,BANKNIFTY10JAN1927200CE.NFO,BANKNIFTY,290.95,393.3,189.85,390.25,373.43
106,2019-01-01 00:00:00,BANKNIFTY10JAN1927200PE.NFO,BANKNIFTY,215.5,310.35,138.95,143.45,157.78
107,2019-01-01 00:00:00,BANKNIFTY10JAN1927300CE.NFO,BANKNIFTY,258.25,336.4,150.25,330.35,314.68
108,2019-01-01 00:00:00,BANKNIFTY10JAN1927300PE.NFO,BANKNIFTY,298.65,369.8,178.0,178.0,194.23
109,2019-01-01 00:00:00,BANKNIFTY10JAN1927400CE.NFO,BANKNIFTY,190.05,280.0,117.05,280.0,259.68
110,2019-01-01 00:00:00,BANKNIFTY10JAN1927400PE.NFO,BANKNIFTY,376.45,447.55,217.0,220.0,235.13
111,2019-01-01 00:00:00,BANKNIFTY10JAN1927500CE.NFO,BANKNIFTY,163.6,226.4,88.4,226.0,210.71
112,2019-01-01 00:00:00,BANKNIFTY10JAN1927500PE.NFO,BANKNIFTY,411.1,505.0,260.0,268.0,282.82
113,2019-01-01 00:00:00,BANKNIFTY10JAN1927600CE.NFO,BANKNIFTY,107.0,182.5,66.3,182.5,168.38
114,2019-01-01 00:00:00,BANKNIFTY10JAN1927600PE.NFO,BANKNIFTY,351.45,351.45,351.45,351.45,351.45
115,2019-01-01 00:00:00,BANKNIFTY10JAN1927700CE.NFO,BANKNIFTY,96.65,145.0,48.05,143.75,132.0
116,2019-01-01 00:00:00,BANKNIFTY10JAN1927800CE.NFO,BANKNIFTY,72.3,118.8,34.3,111.15,101.2
117,2019-01-01 00:00:00,BANKNIFTY10JAN1927900CE.NFO,BANKNIFTY,45.85,88.3,24.35,86.3,75.44
118,2019-01-01 00:00:00,BANKNIFTY10JAN1928000CE.NFO,BANKNIFTY,38.45,62.3,17.65,62.0,54.93
119,2019-01-01 00:00:00,BANKNIFTY10JAN1928000PE.NFO,BANKNIFTY,850.0,860.0,620.0,620.0,635.0
120,2019-01-01 00:00:00,BANKNIFTY10JAN1928100CE.NFO,BANKNIFTY,20.0,44.0,5.15,44.0,39.29
121,2019-01-01 00:00:00,BANKNIFTY10JAN1928200CE.NFO,BANKNIFTY,14.0,34.75,8.5,30.0,26.64
122,2019-01-01 00:00:00,BANKNIFTY10JAN1928300CE.NFO,BANKNIFTY,7.6,24.45,7.6,18.2,18.75
123,2019-01-01 00:00:00,BANKNIFTY10JAN1928400CE.NFO,BANKNIFTY,22.0,22.0,5.0,12.15,12.72
124,2019-01-01 00:00:00,BANKNIFTY10JAN1928500CE.NFO,BANKNIFTY,7.95,19.5,4.0,12.0,10.85
125,2019-01-01 00:00:00,BANKNIFTY10JAN1928500PE.NFO,BANKNIFTY,1300.0,1300.0,1300.0,1300.0,
126,2019-01-01 00:00:00,BANKNIFTY10JAN1928600CE.NFO,BANKNIFTY,0.2,14.5,0.2,9.6,9.18
127,2019-01-01 00:00:00,BANKNIFTY10JAN1928800CE.NFO,BANKNIFTY,7.0,8.0,0.1,0.75,
128,2019-01-01 00:00:00,BANKNIFTY17JAN1925000PE.NFO,BANKNIFTY,18.15,18.15,18.15,18.15,
129,2019-01-01 00:00:00,BANKNIFTY17JAN1926000PE.NFO,BANKNIFTY,50.0,50.0,50.0,50.0,
130,2019-01-01 00:00:00,BANKNIFTY17JAN1926500PE.NFO,BANKNIFTY,125.0,145.0,74.8,82.55,83.09
131,2019-01-01 00:00:00,BANKNIFTY17JAN1927000CE.NFO,BANKNIFTY,416.05,531.7,390.0,531.7,
132,2019-01-01 00:00:00,BANKNIFTY17JAN1927000PE.NFO,BANKNIFTY,297.65,297.65,196.55,196.55,196.55
133,2019-01-01 00:00:00,BANKNIFTY17JAN1927900CE.NFO,BANKNIFTY,200.0,200.0,200.0,200.0,200.0
134,2019-01-01 00:00:00,BANKNIFTY17JAN1928000CE.NFO,BANKNIFTY,69.95,119.45,45.5,115.05,111.49
135,2019-01-01 00:00:00,BANKNIFTY24JAN1926000PE.NFO,BANKNIFTY,159.5,159.5,154.0,154.0,
136,2019-01-01 00:00:00,BANKNIFTY24JAN1927000PE.NFO,BANKNIFTY,340.0,340.0,340.0,340.0,
137,2019-01-01 00:00:00,BANKNIFTY24JAN1927500CE.NFO,BANKNIFTY,225.0,385.0,225.0,385.0,
138,2019-01-01 00:00:00,BANKNIFTY24JAN1927500PE.NFO,BANKNIFTY,792.75,792.75,792.75,792.75,
139,2019-01-01 00:00:00,BANKNIFTY28FEB1924500PE.NFO,BANKNIFTY,76.0,81.0,61.0,81.0,71.0
140,2019-01-01 00:00:00,BANKNIFTY28FEB1925000PE.NFO,BANKNIFTY,110.0,127.35,89.85,95.0,94.18
141,2019-01-01 00:00:00,BANKNIFTY28FEB1925500PE.NFO,BANKNIFTY,185.0,198.0,184.6,184.6,
142,2019-01-01 00:00:00,BANKNIFTY28FEB1926000PE.NFO,BANKNIFTY,276.35,284.0,205.0,215.4,207.76
143,2019-01-01 00:00:00,BANKNIFTY28FEB1926500PE.NFO,BANKNIFTY,331.65,416.0,296.0,296.0,306.98
144,2019-01-01 00:00:00,BANKNIFTY28FEB1927000CE.NFO,BANKNIFTY,837.85,1033.0,825.0,1033.0,1017.4
145,2019-01-01 00:00:00,BANKNIFTY28FEB1927000PE.NFO,BANKNIFTY,517.1,585.0,420.25,420.25,441.0
146,2019-01-01 00:00:00,BANKNIFTY28FEB1927500CE.NFO,BANKNIFTY,566.95,739.8,520.0,739.8,709.38
147,2019-01-01 00:00:00,BANKNIFTY28FEB1927500PE.NFO,BANKNIFTY,610.0,610.0,610.0,610.0,610.0
148,2019-01-01 00:00:00,BANKNIFTY28FEB1928000CE.NFO,BANKNIFTY,356.0,450.0,325.95,450.0,448.04
149,2019-01-01 00:00:00,BANKNIFTY28FEB1928000PE.NFO,BANKNIFTY,1150.0,1150.0,1000.0,1000.0,
150,2019-01-01 00:00:00,BANKNIFTY28FEB1928500CE.NFO,BANKNIFTY,195.7,266.35,173.0,257.5,258.96
151,2019-01-01 00:00:00,BANKNIFTY31JAN1922800PE.NFO,BANKNIFTY,8.0,9.0,5.95,6.05,6.05
152,2019-01-01 00:00:00,BANKNIFTY31JAN1923000CE.NFO,BANKNIFTY,4193.3,4450.0,4173.4,4450.0,4435.0
153,2019-01-01 00:00:00,BANKNIFTY31JAN1923000PE.NFO,BANKNIFTY,9.4,10.65,5.5,7.95,6.52
154,2019-01-01 00:00:00,BANKNIFTY31JAN1923500PE.NFO,BANKNIFTY,11.55,11.55,9.05,10.0,9.52
155,2019-01-01 00:00:00,BANKNIFTY31JAN1924000CE.NFO,BANKNIFTY,3211.5,3460.0,3150.0,3460.0,3455.0
156,2019-01-01 00:00:00,BANKNIFTY31JAN1924000PE.NFO,BANKNIFTY,15.0,18.0,12.55,13.0,13.34
157,2019-01-01 00:00:00,BANKNIFTY31JAN1924400PE.NFO,BANKNIFTY,17.9,17.9,16.5,17.5,
158,2019-01-01 00:00:00,BANKNIFTY31JAN1924500CE.NFO,BANKNIFTY,2740.0,2929.0,2721.05,2929.0,
159,2019-01-01 00:00:00,BANKNIFTY31JAN1924500PE.NFO,BANKNIFTY,24.45,24.5,17.25,17.4,17.9
160,2019-01-01 00:00:00,BANKNIFTY31JAN1924600PE.NFO,BANKNIFTY,24.65,24.65,24.65,24.65,
161,2019-01-01 00:00:00,BANKNIFTY31JAN1925000CE.NFO,BANKNIFTY,2236.65,2516.75,2159.6,2514.15,2495.72
